file_name,native_language
english406.png,english
english566_slow.png,english
english399_slow.png,english
english41_fast.png,english
english449.png,english
english526_fast.png,english
english68_fast.png,english
english51_slow.png,english
english166.png,english
english28_slow.png,english
english160_fast.png,english
english481.png,english
english431.png,english
english62_fast.png,english
english56.png,english
english371_fast.png,english
english80_fast.png,english
english262.png,english
english305_slow.png,english
english530_slow.png,english
english529_slow.png,english
english312_slow.png,english
english296_slow.png,english
english437_slow.png,english
english518_slow.png,english
english498.png,english
english374_fast.png,english
english161_fast.png,english
english233_slow.png,english
english467_fast.png,english
english77_slow.png,english
english491.png,english
english253.png,english
english315_slow.png,english
english551_fast.png,english
english49_fast.png,english
english331_fast.png,english
english393.png,english
english541_fast.png,english
english293_fast.png,english
english387_slow.png,english
english102_fast.png,english
english134.png,english
english93.png,english
english496_slow.png,english
english498_fast.png,english
english236.png,english
english167_slow.png,english
english218_fast.png,english
english511.png,english
english242_slow.png,english
english362_fast.png,english
english363_slow.png,english
english22_fast.png,english
english119.png,english
english192_fast.png,english
english548_fast.png,english
english4_slow.png,english
english142.png,english
english347.png,english
english190_fast.png,english
english525_slow.png,english
english97.png,english
english486.png,english
english509_slow.png,english
english288.png,english
english482.png,english
english176_slow.png,english
english275.png,english
english64_fast.png,english
english542.png,english
english567_fast.png,english
english38.png,english
english323_fast.png,english
english39_fast.png,english
english341.png,english
english170_fast.png,english
english101.png,english
english438_fast.png,english
english527.png,english
english237_slow.png,english
english223.png,english
english489.png,english
english432_fast.png,english
english266_fast.png,english
english306_slow.png,english
english349_slow.png,english
english250_slow.png,english
english291.png,english
english529.png,english
english139.png,english
english138_fast.png,english
english472.png,english
english342_fast.png,english
english157_slow.png,english
english100_fast.png,english
english372.png,english
english418.png,english
english311_fast.png,english
english95_slow.png,english
english413_slow.png,english
english220_slow.png,english
english146_fast.png,english
english15_slow.png,english
english556_slow.png,english
english570_slow.png,english
english232_fast.png,english
english144_fast.png,english
english535_slow.png,english
english315.png,english
english81_fast.png,english
english83.png,english
english473_slow.png,english
english366.png,english
english99.png,english
english67.png,english
english285.png,english
english391.png,english
english269_fast.png,english
english423.png,english
english171_fast.png,english
english415_fast.png,english
english219.png,english
english540_slow.png,english
english193_fast.png,english
english439_fast.png,english
english434_fast.png,english
english447.png,english
english203.png,english
english479_fast.png,english
english526.png,english
english346_fast.png,english
english266.png,english
english38_slow.png,english
english105_fast.png,english
english111_slow.png,english
english132.png,english
english117_slow.png,english
english364.png,english
english27_fast.png,english
english116_slow.png,english
english112.png,english
english323_slow.png,english
english184_fast.png,english
english141_slow.png,english
english95.png,english
english44_slow.png,english
english1_slow.png,english
english413_fast.png,english
english163_fast.png,english
english314_fast.png,english
english165_fast.png,english
english554_fast.png,english
english487.png,english
english349_fast.png,english
english158_fast.png,english
english228.png,english
english68.png,english
english20_fast.png,english
english384_slow.png,english
english277_slow.png,english
english200_slow.png,english
english260.png,english
english125_slow.png,english
english534.png,english
english545.png,english
english87_fast.png,english
english56_fast.png,english
english19_fast.png,english
english60.png,english
english544.png,english
english551_slow.png,english
english7_slow.png,english
english75.png,english
english21_slow.png,english
english185_fast.png,english
english47.png,english
english206.png,english
english282.png,english
english158.png,english
english302_fast.png,english
english511_slow.png,english
english503.png,english
english214_slow.png,english
english40_slow.png,english
english536_slow.png,english
english148_fast.png,english
