file_name,native_language
korean27.png,korean
korean32.png,korean
korean28.png,korean
korean49.png,korean
korean48.png,korean
korean44.png,korean
korean18.png,korean
korean15.png,korean
korean16.png,korean
korean12.png,korean
korean10.png,korean
korean17.png,korean
korean3.png,korean
korean2.png,korean
korean14.png,korean
korean37.png,korean
korean45.png,korean
korean25.png,korean
korean43.png,korean
korean19.png,korean
korean5.png,korean
korean46.png,korean
korean23.png,korean
korean7.png,korean
korean51.png,korean
korean6.png,korean
korean26.png,korean
korean36.png,korean
korean52.png,korean
korean47.png,korean
korean9.png,korean
korean29.png,korean
korean41.png,korean
korean13.png,korean
korean1.png,korean
korean34.png,korean
korean21.png,korean
korean38.png,korean
korean4.png,korean
korean40.png,korean
korean20.png,korean
korean42.png,korean
korean33.png,korean
korean35.png,korean
korean39.png,korean
korean30.png,korean
korean50.png,korean
korean11.png,korean
korean24.png,korean
korean22.png,korean
korean31.png,korean
korean8.png,korean
korean5_slow.png,korean
korean40_fast.png,korean
korean26_fast.png,korean
korean42_fast.png,korean
korean33_fast.png,korean
korean30_slow.png,korean
korean10_slow.png,korean
korean23_slow.png,korean
korean45_slow.png,korean
korean31_slow.png,korean
korean19_fast.png,korean
korean43_fast.png,korean
korean50_fast.png,korean
korean50_slow.png,korean
korean18_slow.png,korean
korean37_fast.png,korean
korean29_slow.png,korean
korean24_fast.png,korean
korean51_fast.png,korean
korean16_fast.png,korean
korean4_fast.png,korean
korean48_slow.png,korean
korean14_slow.png,korean
korean9_slow.png,korean
korean24_slow.png,korean
korean12_slow.png,korean
korean41_slow.png,korean
korean28_slow.png,korean
korean29_fast.png,korean
korean33_slow.png,korean
korean46_slow.png,korean
korean22_slow.png,korean
korean38_slow.png,korean
korean12_fast.png,korean
korean45_fast.png,korean
korean44_slow.png,korean
korean6_fast.png,korean
korean41_fast.png,korean
korean7_fast.png,korean
korean22_fast.png,korean
korean11_fast.png,korean
korean14_fast.png,korean
korean8_fast.png,korean
korean2_fast.png,korean
korean2_slow.png,korean
korean39_fast.png,korean
korean49_fast.png,korean
korean36_fast.png,korean
korean52_fast.png,korean
korean35_fast.png,korean
korean13_slow.png,korean
korean35_slow.png,korean
korean38_fast.png,korean
korean17_fast.png,korean
korean5_fast.png,korean
korean49_slow.png,korean
korean52_slow.png,korean
korean15_slow.png,korean
korean6_slow.png,korean
korean40_slow.png,korean
korean17_slow.png,korean
korean11_slow.png,korean
korean20_fast.png,korean
korean51_slow.png,korean
korean34_slow.png,korean
korean28_fast.png,korean
korean21_fast.png,korean
korean3_slow.png,korean
korean42_slow.png,korean
korean32_slow.png,korean
korean18_fast.png,korean
korean37_slow.png,korean
korean26_slow.png,korean
korean31_fast.png,korean
korean30_fast.png,korean
korean47_fast.png,korean
korean15_fast.png,korean
korean25_fast.png,korean
korean39_slow.png,korean
korean34_fast.png,korean
korean1_fast.png,korean
korean27_fast.png,korean
korean48_fast.png,korean
korean9_fast.png,korean
korean25_slow.png,korean
korean27_slow.png,korean
korean8_slow.png,korean
korean7_slow.png,korean
korean19_slow.png,korean
korean20_slow.png,korean
korean3_fast.png,korean
korean44_fast.png,korean
korean36_slow.png,korean
korean1_slow.png,korean
korean47_slow.png,korean
korean46_fast.png,korean
korean4_slow.png,korean
korean10_fast.png,korean
korean32_fast.png,korean
korean21_slow.png,korean
korean23_fast.png,korean
korean43_slow.png,korean
korean16_slow.png,korean
korean13_fast.png,korean
